;Date;No de magasin;Taux de remplissage
0;2016/03/31;Morangis;99.23
1;2016/04/01;Morangis;100.27
2;2016/03/31;VLG;99.85
3;2016/04/01;VLG;100.0
4;2016/03/31;Bonneuil;100.0
5;2016/04/01;Bonneuil;96.69
6;2016/03/31;Mions;93.93
7;2016/04/01;Mions;75.58
8;2016/03/31;Lille;73.5
9;2016/04/01;Lille;64.5
10;2016/03/31;Marseille;88.48
11;2016/04/01;Marseille;56.05
